slug,url,name,type,tags,cas_no,odour,solvent,synonyms,manufacturer
pea,https://pellwall.com/products/pea,PEA (Phenylethyl Alcohol),liquid,"['aroma-chemicals', 'floral', 'fresh', 'honey', 'ingredients-for-perfumery', 'liquids', 'mild', 'molecules', 'rose', 'rosewater', 'soft']",['60-12-8'],,,"['phenyl ethyl alcohol', 'rose alcohol', 'phenylethyl alcohol']",
amber-core,https://pellwall.com/products/amber-core,Amber Core,liquid,"['amber', 'aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'natural', 'rich', 'soft', 'sweet', 'velvety', 'woody']",['139504-68-0'],,,"['Ambercore', 'Amber butanol,\xa01-(2-Ter-Butyl cyclohexyloxy)-2-butanol,\xa0ortho-Terbutylcyclohexyloxybutanol-2']",Kao
eugenol,https://pellwall.com/products/eugenol,Eugenol,liquid,"['allspice', 'aroma-chemicals', 'cinnamon', 'clove', 'dry', 'ingredients-for-perfumery', 'liquids', 'molecules', 'phenolic', 'spicy', 'sweet', 'woody']",['97-53-0'],,,['2-methoxy-4-prop-2-enylphenol'],
helional,https://pellwall.com/products/helional,Helional,liquid,"['aroma-chemicals', 'cyclamen', 'fixatives', 'floral', 'fresh', 'fruity', 'green', 'hay', 'ingredients-for-perfumery', 'liquids', 'melon', 'molecules', 'new-mown-hay', 'ozone', 'watery']",['1205-17-0'],"['fresh', 'watery', 'green', 'floral-cyclamen', 'ozone', 'hay', 'new-mown-hay']",,"['alpha-Methyl-1,3-benzodioxole-5-propanal', 'ocean propanal', 'MMDHCA']",IFF
cedramber,https://pellwall.com/products/cedramber,Cedramber,liquid,"['amber', 'aroma-chemicals', 'bright', 'cedar', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'patchouli', 'radiant', 'woody']",['67874-81-1'],"['woody', 'cedarwood', 'amber']",,"['MCE', 'methyl cedryl ether']",IFF
hedione-hc,https://pellwall.com/products/hedione-hc,Hedione HC,liquid,"['aroma-chemicals', 'clean', 'fixatives', 'floral', 'fresh', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'magnolia', 'molecules', 'petal', 'radiant', 'soft', 'sweet']",['24851-98-7'],"['fresh', 'floral-jasmine', 'sweet', 'clean']",,"['Methyl dihydrojasmonate high cis', 'Hedione High Cis']",Firmenich
vanillin-10,https://pellwall.com/products/vanillin-10,Vanillin 10%,liquid,"['aroma-chemicals', 'chocolate', 'creamy', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'sweet', 'vanilla']",['121-33-5'],,DPG to give a 10% solution of vanillin,['4-hydroxy-3-methoxybenzaldehyde'],
geraniol,https://pellwall.com/products/geraniol,Geraniol,liquid,"['aroma-chemicals', 'berry', 'citrus', 'floral', 'fruity', 'geranium', 'ingredients-for-perfumery', 'liquids', 'molecules', 'rose', 'sweet', 'waxy']",['106-24-1'],,,"['(2E)-3,7-dimethylocta-2,6-dien-1-ol']",
linalyl-acetate,https://pellwall.com/products/linalyl-acetate,Linalyl acetate,liquid,"['aroma-chemicals', 'bergamot', 'floral', 'fresh', 'green', 'ingredients-for-perfumery', 'liquids', 'molecules', 'pear', 'sweet']",['115-95-7'],,,"['3,7-dimethylocta-1,6-dien-3-yl acetate', 'linalol acetate', 'linalool acetate']",
dihydromyrcenol,https://pellwall.com/products/dihydromyrcenol,Dihydromyrcenol,liquid,"['aroma-chemicals', 'bergamot', 'bitter', 'citrus', 'clean', 'cologne', 'coriander', 'floral', 'fresh', 'ingredients-for-perfumery', 'lavender', 'lime', 'liquids', 'molecules', 'sweet']",['18479-58-8'],,,"['DHM', '2,6-dimethyloct-7-en-2-ol']",
benzyl-salicylate,https://pellwall.com/products/benzyl-salicylate,Benzyl salicylate,liquid,"['aroma-chemicals', 'balsamic', 'fixatives', 'floral', 'ingredients-for-perfumery', 'liquids', 'mild', 'molecules', 'musky', 'phenolic', 'salicylate', 'solvents-amp-additives', 'spicy', 'sweet', 'uv-stabiliser']",['118-58-1'],,,[],
oud-samrat-10,https://pellwall.com/products/oud-samrat-10,Oud Samrat 10%,liquid,"['ambery', 'animalic', 'aroma-chemicals', 'balsamic', 'blends-and-bases', 'fixatives', 'ingredients-for-perfumery', 'leather', 'liquids', 'oriental', 'oud', 'woody']",[],"['oud', 'woody', 'ambery', 'oriental', 'animalic']",Ethanol (denat.) to form a 10% solution of Oud Samrat,[],Firmenich
olibanum-oleoresin-in-tec,https://pellwall.com/products/olibanum-oleoresin-in-tec,Olibanum Oleoresin in TEC,liquid,"['balsamic', 'fixatives', 'fresh', 'incense', 'ingredients-for-perfumery', 'lemon', 'liquids', 'natural-ingredients-for-perfumery', 'resins-etc', 'warm', 'woody']",['8050-07-5'],,TEC to form a 30% solution of Olibanum oleoresin,"['Boswellia carteri', 'frakincense resinoid', 'frankincese oleoresin', 'frankincense resin', 'olibanum resin', 'olibanum resinoid']",IFF
lemon-oil,https://pellwall.com/products/lemon-oil,Lemon Oil,liquid,"['aldehydic', 'citrus', 'clean', 'essential-oils', 'fresh', 'fruity', 'ingredients-for-perfumery', 'lemon', 'liquids', 'natural-ingredients-for-perfumery', 'sharp', 'sweet']",['84929-31-7'],,,['Citrus limon'],
fructone,https://pellwall.com/products/fructone,Fructone,liquid,"['apple', 'aroma-chemicals', 'floral', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'sweet', 'tropical-fruit', 'warm']",['6413-10-1'],,,"['apple ketal', 'applinal', 'applitone', 'fragolan', 'fructone B', 'fruitinal', 'jasmaprunat', 'ketopmmal', 'methyl dioxylane']",
methyl-ionone-gamma-pure,https://pellwall.com/products/methyl-ionone-gamma-pure,Methyl Ionone Gamma Pure,,"['dry', 'floral', 'fruity', 'powdery', 'radiant', 'tea', 'violet', 'woody']",['127-51-5'],,,"['3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one (isomers);\xa0alpha-acetone;\xa0alpha-isomethyl ionone', 'alpha-iso-methyl ionone', 'cetone alpha', 'gamma-methyl ionone.']",
exaltolide-total,https://pellwall.com/products/exaltolide-total,Exaltolide Total,solid,"['animalic', 'aroma-chemicals', 'fixatives', 'herbal', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'natural', 'radiant', 'rich', 'solids', 'sweet']",['106-02-5'],,-DPG 50%,"['16-oxacyclohexadecan-1-one', 'Angelica Musk', 'cyclopentadecanolide', 'macrolide', 'Omegapentadecalactone', 'omega-pentadecalactone']",
ionone-beta,https://pellwall.com/products/ionone-beta,Ionone beta,liquid,"['aroma-chemicals', 'floral', 'fruity', 'green', 'ingredients-for-perfumery', 'ionone-like', 'liquids', 'molecules', 'raspberry', 'sweet', 'violet', 'woody']",['14901-07'],,,"['4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-one', 'beta-Ionone']",
safraleine,https://pellwall.com/products/safraleine,Safraleine,liquid,"['aroma-chemicals', 'floral', 'fresh', 'herbal', 'ingredients-for-perfumery', 'leather', 'liquids', 'molecules', 'rose', 'saffron', 'tobacco', 'warm']",['54440-17-4'],,,"['2,3,3-trimethyl indan-1-one;\xa02,3,3-trimethylindanone;\xa0saffron indenone']",Givaudan
guaiacwood-50,https://pellwall.com/products/guaiacwood-50,Guaiacwood 50%,liquid,"['balsamic', 'essential-oils', 'fixatives', 'floral', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'oily', 'powdery', 'smoky', 'soft', 'sweet', 'tea-rose', 'vaniila', 'vanilla', 'warm', 'woody']",['8016-23-7'],,Ethanol 50%,[],Bulnesia sarmientoi
florol,https://pellwall.com/products/florol,Florol,liquid,"['aldehydic', 'aroma-chemicals', 'clean', 'floral', 'fresh', 'green', 'high-impact-materials', 'ingredients-for-perfumery', 'lily', 'lily-of-the-valley', 'linalool', 'liquids', 'molecules', 'muguet', 'natural', 'radiant', 'soft', 'sweet']",['63500-71-0'],,,"['4-methyl-2-(2-methylpropyl)oxan-4-ol;\xa0Floriffol', 'Florosa', 'Florosol', 'Florotyl', 'Keflorol 90', 'Mugetol', 'Pyranol']",Firmenich
benzyl-acetate,https://pellwall.com/products/benzyl-acetate,Benzyl acetate,liquid,"['aroma-chemicals', 'floral', 'fresh', 'fruity', 'high-impact-materials', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'molecules', 'sweet']",['140-11-4'],,,['acetic acid benzyl ester'],
ethyl-vanillin,https://pellwall.com/products/ethyl-vanillin,Ethyl vanillin,solid,"['aroma-chemicals', 'chocolate', 'creamy', 'fixatives', 'floral', 'ingredients-for-perfumery', 'intense', 'molecules', 'powdery', 'solids', 'sweet', 'vanilla', 'vanillin', 'warm']",['121-32-4'],"['sweet', 'vanilla', 'vanillin', 'powdery', 'chocolate']",,['3-Ethoxy-4-hydroxybenzaldehyde.'],
citronellol,https://pellwall.com/products/citronellol,Citronellol,liquid,"['aroma-chemicals', 'floral', 'fresh', 'geranium', 'green', 'ingredients-for-perfumery', 'leather', 'liquids', 'molecules', 'rose', 'sweet', 'waxy']","['106-22-9', '26489-01-0']",,,"['3,7-Dimethyl-6-octen-l-ol.']",
orris-givco,https://pellwall.com/products/orris-givco,Orris Givco,liquid,"['amber', 'aroma-chemicals', 'blends-and-bases', 'floral', 'ingredients-for-perfumery', 'liquids', 'orris', 'powdery', 'radiant', 'violet', 'woody']",[],['floral-orris and violet'],,[],Givaudan
aldehyde-c18-coconut,https://pellwall.com/products/aldehyde-c18-coconut,Aldehyde C18 - Coconut,liquid,"['aroma-chemicals', 'coconut', 'coumarin', 'creamy', 'high-impact-materials', 'ingredients-for-perfumery', 'lactonic', 'liquids', 'molecules', 'sweet']",['104-61-0'],,,"['Coconut aldehyde', 'gamma-Nonalactone', 'Nonanolide']",
ionone-alpha,https://pellwall.com/products/ionone-alpha,Ionone alpha,liquid,"['aroma-chemicals', 'balsamic', 'floral', 'ingredients-for-perfumery', 'ionone-like', 'liquids', 'molecules', 'radiant', 'sweet', 'violet', 'warm', 'woody']",['127-41-3'],,,"['(E)-4-(2,6,6-trimethyl-1-cyclohex-2-enyl)but-3-en-2-one']",IFF
clearwood,https://pellwall.com/products/clearwood,Clearwood,liquid,"['amber', 'clean', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'natural-isolates', 'patchouli', 'sandalwood', 'soft', 'woody']",['1450625-49-6'],,,[],Firmenich
vetiver-haiti,https://pellwall.com/products/vetiver-haiti,"Vetiver, Haiti",liquid,"['aroma-chemicals', 'creamy', 'earthy', 'fixatives', 'heavy', 'ingredients-for-perfumery', 'liquids', 'molecules', 'mossy', 'precious-woods', 'radiant', 'rich', 'rooty', 'smooth', 'sweet', 'warm', 'woody']",['8016-96-4'],,,"['chrysopogon zizanioides extract', 'vetiver extract', 'vetivera zizanioides']",
lavender-absolute-10,https://pellwall.com/products/lavender-absolute-10,Lavender Absolute 10%,liquid,"['absolutes', 'balsamic', 'clean', 'floral', 'fresh', 'fruity', 'green', 'herbaceous', 'herbal', 'ingredients-for-perfumery', 'lavender', 'liquids', 'natural-ingredients-for-perfumery', 'spicy', 'sweet', 'woody']",['84776-65-8'],,DPG to give a 10% solution of Lavender Absolute,"['Lavender abs,\xa0Lavandula angustifolia Miller']",
ethyl-vanillin-10,https://pellwall.com/products/ethyl-vanillin-10,Ethyl vanillin 10%,liquid,"['aroma-chemicals', 'chocolate', 'creamy', 'fixatives', 'floral', 'ingredients-for-perfumery', 'intense', 'liquids', 'molecules', 'powdery', 'sweet', 'vanilla', 'vanillin', 'warm']",['121-32-4'],"['sweet', 'vanilla', 'vanillin', 'powdery', 'chocolate']",DPG to give a 10% solution of ethyl vanillin,['3-Ethoxy-4-hydroxybenzaldehyde'],
cassis-base-345b,https://pellwall.com/products/cassis-base-345b,Cassis Base 345B,liquid,"['aroma-chemicals', 'blackcurrant', 'blends-and-bases', 'box', 'cassis', 'floral', 'fresh', 'fruity', 'green', 'ingredients-for-perfumery', 'juicy', 'liquids']",[],"['fruity-cassis', 'blackcurrant', 'box']",,"['blackcurrant bud absolute', 'synthetic']",Firmenich
helvetolide,https://pellwall.com/products/helvetolide,Helvetolide,liquid,"['ambrette', 'aroma-chemicals', 'fixatives', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'pear', 'rich']",['141773-73-1'],,,"['1-propanol', '2-[1-(3,3-dimethyl-cyclohexyl)ethoxy]-2-methyl-', 'propanoate;\xa0musk propanoate']",Firmenich
trimofix,https://pellwall.com/products/trimofix,Trimofix,,"['amber', 'bright', 'cedar', 'dry', 'patchouli', 'radiant', 'smoky', 'tobacco', 'vetiver', 'vetiveryl-acetate', 'woody']",['144020-22-4'],"['woody-amber', 'ambergris', 'tobacco', 'musk', 'dry']",,"['amber decatriene', 'fixamber', 'Methyl trimethylcyclododecatrienyl ketone (mixture of isomers)', 'Trimofix O']",IFF
black-agar-givco-215,https://pellwall.com/products/black-agar-givco-215,Black Agar Givco 215,liquid,"['amber', 'aroma-chemicals', 'blends-and-bases', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'olibanum', 'oud', 'woody']",[],,,"['oud recreation', 'oud speciality']",Givaudan
benzoin-resinoid-pourable,https://pellwall.com/products/benzoin-resinoid-pourable,"Benzoin resinoid, pourable",liquid,"['balsam', 'balsamic', 'cinnamic', 'creamy', 'fixatives', 'ingredients-for-perfumery', 'liqueure', 'liquids', 'natural-ingredients-for-perfumery', 'powdery', 'resins-etc', 'rich', 'spicy', 'sweet', 'vanilla', 'woody']",['9000-72-0'],,DPG 50% (dilution by Pell Wall),"['Styrax tonkinensis Pierre benzoin', 'benzoin Siam']",Payan Bertrand
romandolide,https://pellwall.com/products/romandolide,Romandolide,liquid,"['ambrette', 'aroma-chemicals', 'berry', 'fixatives', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'radiant', 'sweet']",['236391-76-7'],,,"['acetic acid', '(1-oxopropoxy)-1-(3,3-dimethylcyclohexyl) ethyl ester']",Firmenich
cashmeran-velvet,https://pellwall.com/products/cashmeran-velvet,Cashmeran Velvet,solid,"['animalic', 'aroma-chemicals', 'blends-and-bases', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'musk', 'musks', 'rich', 'solids', 'spicy']",[],,,[],IFF
aldehyde-c12-mna,https://pellwall.com/products/aldehyde-c12-mna,Aldehyde C12 MNA,liquid,"['aldehydic', 'amber', 'aroma-chemicals', 'citrus', 'coumarin', 'dry', 'fresh', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'metallic', 'molecules', 'mossy', 'sweaty-musk', 'tuberose', 'waxy']",[],,,[],
damascone-delta,https://pellwall.com/products/damascone-delta,Damascone Delta,liquid,"['apple', 'aroma-chemicals', 'cassis', 'fruity', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'metallic', 'molecules', 'natural', 'plum', 'prunes', 'rose', 'spicy', 'sweet', 'tobacco']",['57378-68-4'],,,"['1-(2,6,6-trimethyl-1-cyclohex-3-enyl)but-2-en-1-one', '1-2,6,6-trimethyl-3-cyclohexen-1-yl-2-buten-1-one', '8-damascone', 'dihydro floriffone TD', 'delta Rose Ketone', 'Rose ketone-3']",Firmenich
methyl-ionone-iso-super,https://pellwall.com/products/methyl-ionone-iso-super,Methyl ionone iso super,liquid,"['aroma-chemicals', 'dry', 'floral', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'powdery', 'radiant', 'tea', 'violet', 'woody']",['127-51-5'],,,"['alpha-acetone;\xa0alpha-isomethyl ionone', 'alpha-iso-methyl ionone', 'cetone alpha', 'gamma-methyl ionone']",
applelide,https://pellwall.com/products/applelide,Applelide,liquid,"['animalic', 'apple', 'aroma-chemicals', 'fixatives', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'rich']",['478695-70-4'],,,"['propanedioic acid', '1-(3,3-dimethylcyclohexyl)ethyl ethyl ester']",IFF
aldehyde-c14-peach,https://pellwall.com/products/aldehyde-c14-peach,Aldehyde C14 Peach,liquid,"['apricot', 'aroma-chemicals', 'creamy', 'fatty', 'fixatives', 'floral', 'fruity', 'high-impact-materials', 'ingredients-for-perfumery', 'lactonic', 'liquids', 'molecules', 'peach', 'sweet']",[],,,[],
coumarin-10,https://pellwall.com/products/coumarin-10,Coumarin 10%,liquid,"['aroma-chemicals', 'fixatives', 'hay', 'ingredients-for-perfumery', 'liquids', 'molecules', 'new-mown-hay', 'sweet', 'tonka']",['91-64-5'],,DPG to form 10% solution,"['2H-chromen-2-one', '1-benzopyran-2-one', 'chromen-2-one']",
seaweed-absolute-10,https://pellwall.com/products/seaweed-absolute-10,Seaweed Absolute 10%,liquid,"['absolutes', 'balsamic', 'dry', 'green', 'herbal', 'ingredients-for-perfumery', 'liquids', 'marine', 'natural-ingredients-for-perfumery', 'phenolic', 'saltwater', 'seaweed', 'woody', 'zanos-collaboration']",['68917-51-1'],,TEC to form a 10% solution of seaweed absolute,[],Payan Bertrand
calone-firmenich-liquid,https://pellwall.com/products/calone-firmenich-liquid,Calone (Firmenich) Liquid,liquid,"['aroma-chemicals', 'clean', 'fresh', 'fruity', 'green', 'ingredients-for-perfumery', 'liquids', 'marine', 'melon', 'molecules', 'ozone', 'watery']",['28940-11-6'],"['fresh', 'watery', 'clean', 'melon-green', 'marine', 'ozone']",TEC 50%,"['Calone', 'watermellon ketone']","Firmenich, dilution by Pell Wall"
damascone-beta,https://pellwall.com/products/damascone-beta,Damascone Beta,liquid,"['aroma-chemicals', 'fresh', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'natural', 'plum', 'radiant', 'raspberry', 'rose', 'tobacco', 'wine']",['23726-91-2'],"['rose', 'plum', 'raspberry', 'wine', 'tobacco']",,"['beta-damascone', '(E)-1-(2,6,6-trimethyl-1-cyclohexenyl)but-2-en-1-one', 'finocone-beta', 'Rose Ketone-2', 'trans-beta-damascone', 'trans-rose ketone-2']",Firmenich
black-pepper-rectified,https://pellwall.com/products/black-pepper-rectified,"Black Pepper, RECTIFIED",liquid,"['balsamic', 'dry', 'essential-oils', 'fresh', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'peppery', 'spicy', 'warm', 'woody']",['8006-82-4'],,,['Piper nigrum'],
